genotype,s_r_merged
[011000010],0.10881607394933938
[011000011],-1.6984621591124167
[011000100],0.05538492528999366
[011000101],-0.47857747109026433
[011000110],-0.7905728290038407
[011000111],-2.3574142798279656
[011001000],-2.5354507211551685
[011001001],-4.9223469098819645
[011001010],0.2508810899321357
[011001011],1.1581764638850747
[011001100],-0.12321655732693919
[011001101],-0.3433662379720763
[011001110],-0.8557303726839298
[011001111],-0.5556065585526216
[011010000],0.40071115816093505
[011010001],0.21905428507122168
[011010010],0.009214774746494098
[011010011],-1.883300233138546
[011010100],-0.1548339887947555
[011010101],-0.32961659129558113
[011010110],-1.083051848701494
[011010111],-2.430872341267683
[011011000],-4.370650541999938
[011011001],-5.760098883475774
[011011010],0.016072835315740903
[011011011],1.0052195522119085
[011011100],0.16551596124729373
[011011101],0.24729924292667824
[011011110],-1.2925088943492538
[011011111],-1.7138425423480426
[011100000],-1.384947200800713
[011100001],-2.3975882379881415
[011100010],-2.9023614181575965
[011100011],-4.927877581149382
[011100100],-2.9410374229216774
[011100101],-3.1594079804620407
[011100110],-3.9739603031140383
[011100111],-5.777187868443758
[011101000],nan
[011101001],-7.861112365205711
[011101010],-3.1690786977253365
[011101011],-2.2051005101590664
[011101100],-3.5535258252039643
[011101101],-3.9268792039368936
[011101110],-4.531014355560428
[011101111],-5.64440030097428
[011110000],-4.268402278073072
[011110001],-6.280649675934163
[011110010],-5.9712443377236815
[011110011],-6.678433164709575
[011110100],-5.34056313240174
[011110101],-7.172617187352668
[011110110],nan
[011110111],nan
[011111000],nan
[011111001],nan
[011111010],-5.911307322402117
[011111011],-5.801687374714399
[011111100],-6.092242241140126
[011111101],-6.45676516735531
[011111110],nan
[011111111],-6.236370928893231
[100000000],0.027561470833303337
[100000001],-0.2214323478725414
[100000010],-0.028727364865203425
[100000011],-1.7116111866551333
[100000100],-0.29516932354217074
[100000101],-0.770365779632819
[100000110],-0.7593811693876092
[100000111],-2.849540814136581
[100001000],-4.683212375853716
[100001001],-6.403333425106984
[100001010],-0.6136477615830161
[100001011],0.7700050803394999
[100001100],-1.548302013478341
[100001101],-1.0391375008625718
[100001110],-1.3719231625894157
[100001111],-2.043269306491454
[100010000],0.05999579507503174
[100010001],-0.22465887039174595
[100010010],-0.10385622051583211
[100010011],-1.3564498492646162
[100010100],-0.5798323872132762
[100010101],-1.0023003840082372
[100010110],-1.0157261601931642
[100010111],-3.0954988281695806
[100011000],-4.381975614876173
[100011001],-6.129388897122529
[100011010],-0.6203796503673796
[100011011],-0.8129018452435645
[100011100],-1.1712943016974535
[100011101],-0.9650128363003107
[100011110],-1.03808626025228
[100011111],-1.9439573912099464
[100100000],-0.31668858953518414
[100100001],-0.6348821901878209
[100100010],-0.46221408364195876
[100100011],-1.2755693604634522
[100100100],-0.7556056983687499
[100100101],-1.1674120407706206
[100100110],-1.5316793070528283
[100100111],-3.6248671677563364
[100101000],-5.062747139660241
[100101001],-6.55388459128084
[100101010],-0.5232616809500653
[100101011],-1.73266366092152
[100101100],-1.3009900643268915
[100101101],-1.508492342337912
[100101110],-1.3200966650740387
[100101111],-2.40152700430477
[100110000],-0.07502306024005821
[100110001],-0.1277484654227323
[100110010],-0.4496179024268569
[100110011],-1.39139791565922
[100110100],-0.5927252784795839
[100110101],-0.6343111861100369
[100110110],-1.109276163094876
[100110111],-3.2643804406308568
[100111000],-4.949217095949818
[100111001],-6.171558167094093
[100111010],-0.26874249855925564
[100111011],-1.0041882110606242
[100111100],-1.191962397403827
[100111101],-0.9994225289072732
[100111110],-1.116669677858796
[100111111],-2.0785683356727724
[101000000],1.070392971730449
[101000001],0.9715366517095975
[101000010],0.7267277342791458
[101000011],-1.4434216362022065
[101000100],0.8918240478081629
[101000101],0.8210675103891698
[101000110],-0.1322209782945045
[101000111],-2.3369235010897977
[101001000],-4.0083373998450975
[101001001],-5.32867257200177
[101001010],0.9765373667860416
[101001011],1.0702200049779262
[101001100],0.2538468792668884
[101001101],0.03642828637785864
[101001110],-0.162889871688452
[101001111],-0.8608898830159294
[101010000],0.4493118936602117
[101010001],0.4123408066719552
[101010010],0.17656348260523577
[101010011],-1.820385342938865
[101010100],0.6224199391844726
[101010101],0.5243223808942105
[101010110],-0.5703133584874042
[101010111],-3.017470832438095
[101011000],-4.782208789504572
[101011001],-5.614400474626579
[101011010],0.3862265655584589
[101011011],0.509400624780736
[101011100],-0.3256046284324898
[101011101],-0.3205453820597416
[101011110],-0.8303293231990247
[101011111],-1.7665089165586758
[101100000],-1.5564612359496819
[101100001],-1.892068874137281
[101100010],-2.1013513059092026
[101100011],-3.6842507079841513
[101100100],-0.7868306476354813
[101100101],-1.668898589611451
[101100110],-2.823082604032431
[101100111],-5.116524404353368
[101101000],-5.70628181285266
[101101001],-5.894655899169324
[101101010],-1.9211491819566116
[101101011],-0.9395743592986959
[101101100],-2.335437865037628
[101101101],-2.5282448212230944
[101101110],-3.0634708701984086
[101101111],-4.007170502923395
[101110000],-5.080890034768398
[101110001],-5.670771946148776
[101110010],-5.154544424734604
[101110011],-6.5267839568895205
[101110100],-2.942076879098235
[101110101],-4.603519140785928
[101110110],-5.8696646289084855
[101110111],nan
[101111000],nan
[101111001],nan
[101111010],-4.777486769041003
[101111011],-4.3265405703319315
[101111100],-5.232498239309644
[101111101],-5.894920158940068
[101111110],-5.582818572053708
[101111111],-5.57844256944609
[110000000],0.6848892646584178
[110000001],0.5663494127828379
[110000010],0.08311537336219862
[110000011],-1.741715678298198
[110000100],0.8873677124643726
[110000101],0.8159131017303681
[110000110],-0.5460713372674819
[110000111],-2.744289769199028
[110001000],-4.571307776026091
[110001001],-5.548920091227379
[110001010],0.2836428489201348
[110001011],0.22744405794164227
[110001100],-0.4804742333647021
[110001101],-0.554166236763591
[110001110],-0.7007805301371218
[110001111],-1.4100015466903235
[110010000],0.5805226285239975
[110010001],0.32518350326542994
[110010010],0.13590980308253395
[110010011],-1.8526772754735346
[110010100],0.6722917553889038
[110010101],0.5037612819541956
[110010110],-0.7173539869902035
[110010111],-2.932783390438414
[110011000],-4.647478757773883
[110011001],-5.5030358826363
[110011010],0.49162960790818405
[110011011],0.46811857794312767
[110011100],-0.08075192305402945
[110011101],-0.04199585912087273
[110011110],-0.7191341432560575
[110011111],-1.5812967187145006
[110100000],-1.8128119623002374
[110100001],-2.2745821434909876
[110100010],-2.6437177332203805
[110100011],-4.259222141228456
[110100100],-0.8702206280750033
[110100101],-2.0940066965205064
[110100110],-3.461450060188483
[110100111],-4.703920400526642
[110101000],-5.591358847168814
[110101001],nan
[110101010],-2.1636377877759987
[110101011],-1.4214748346566317
[110101100],-2.672887731792235
[110101101],-2.925298979590655
[110101110],-3.553665518482831
[110101111],-4.341410751444189
[110110000],-5.264231020431682
[110110001],-5.159848407017372
[110110010],-5.201195818656075
[110110011],-6.2868537669276705
[110110100],-2.7820935783464917
[110110101],-4.4413629982594784
[110110110],-5.621945217855868
[110110111],-7.288006128637658
[110111000],nan
[110111001],nan
[110111010],-5.093687468195178
[110111011],-4.250877308449199
[110111100],-5.195654512331779
[110111101],-5.594145835475423
[110111110],-5.560501545885367
[110111111],-5.310693537396818
[111000000],0.7900032856859198
[111000001],0.5091198333503029
[111000010],0.22325202169916455
[111000011],-1.7160054253835346
[111000100],0.8839090850856163
[111000101],0.8018954619778539
[111000110],-0.7647794955565813
[111000111],-2.77370632607362
[111001000],-4.17441681987412
[111001001],-5.844979972673411
[111001010],0.37179378858761547
[111001011],0.4158263252353433
[111001100],-0.21032720768152383
[111001101],-0.47499988924202285
[111001110],-0.7601918729042625
[111001111],-1.2932642480413685
[111010000],0.6858780787015236
[111010001],0.5529736385541493
[111010010],0.34049517258201534
[111010011],-1.6742261986540472
[111010100],0.748398453529647
[111010101],0.5221465730289431
[111010110],-0.4703777225370704
[111010111],-2.6738716861071854
[111011000],-4.36352285259123
[111011001],-6.150701384267997
[111011010],0.49063205591553666
[111011011],0.4864744513166062
[111011100],-0.24347026038766492
[111011101],-0.15752827756326404
[111011110],-0.5789305626031455
[111011111],-1.4183175466584939
[111100000],-1.8348836328431786
[111100001],-1.8646741688657456
[111100010],-2.480835468002423
[111100011],-3.9062366158025434
[111100100],-0.8847861114725055
[111100101],-1.9672053896272905
[111100110],-3.100356108367039
[111100111],-4.585296987987099
[111101000],-5.367755198918453
[111101001],-7.0369080335106515
[111101010],-1.9532391721256885
[111101011],-1.2428614624597003
[111101100],-2.5213706226272734
[111101101],-2.7928913043588803
[111101110],-3.3726246166168985
[111101111],-4.180219189372536
[111110000],-4.741886362002448
[111110001],-5.034434517413654
[111110010],-5.227929441439732
[111110011],-6.322956050043836
[111110100],-2.747991243383239
[111110101],-4.113025130324302
[111110110],-5.524262142975845
[111110111],nan
[111111000],nan
[111111001],nan
[111111010],-5.156723241967484
[111111011],-4.150930803479704
[111111100],-5.131224974650441
[111111101],-5.369090661420394
[111111110],-5.567046785293004
[111111111],-6.335077329915411
