genotype,s_r_merged
[100111001],-7.319721952896501
[100111010],-0.8809069680998576
[100111011],-4.173608000378478
[100111100],-2.972226249400839
[100111101],-6.9520256976570876
[100111110],-3.3495616213029322
[100111111],-7.368618507621643
[101000000],-1.1996342747069415
[101000001],-6.93201391835259
[101000010],-5.092905660076577
[101000011],-7.257669886500703
[101000100],-2.5164316925234047
[101000101],-5.064980329004612
[101000110],-5.596046689115721
[101000111],-7.051080115910608
[101001000],-7.069183549884192
[101001001],nan
[101001010],-5.680074922496057
[101001011],-6.920192368952297
[101001100],-5.100703751382482
[101001101],-7.79606205639086
[101001110],-6.581754294668568
[101001111],nan
[101010000],-1.4894829071054791
[101010001],-7.09787238303143
[101010010],-4.735135665859186
[101010011],-6.742677737166999
[101010100],-2.4361892934119624
[101010101],-4.992647806291931
[101010110],-5.737564396244548
[101010111],-7.870391624628133
[101011000],-7.525955858008408
[101011001],-7.569788756238218
[101011010],-5.952433262163798
[101011011],-6.967758884669355
[101011100],-5.066984011793648
[101011101],nan
[101011110],-6.061291757599856
[101011111],nan
[101100000],-0.5216700833954937
[101100001],-6.800588551967304
[101100010],-3.9772927371779048
[101100011],-7.636946313555796
[101100100],-1.984176902083675
[101100101],-6.356546768617896
[101100110],-5.023224336885976
[101100111],nan
[101101000],-6.036208269831209
[101101001],-6.8849408502356955
[101101010],-4.946723024671588
[101101011],-8.032815908201329
[101101100],-4.73834927491457
[101101101],-7.157293332863226
[101101110],-5.810831121226198
[101101111],-7.586676923971707
[101110000],-3.0089168258270136
[101110001],-6.842082772432271
[101110010],-6.209815792386446
[101110011],-7.7119000105226725
[101110100],-3.0682435066824447
[101110101],-6.095915432861696
[101110110],-6.722420761658431
[101110111],-6.562443123882292
[101111000],-6.861442712922306
[101111001],-7.261168644187386
[101111010],-5.619233652572474
[101111011],-7.031219756477096
[101111100],-6.873643484610351
[101111101],-7.297861225270754
[101111110],-6.779110779880384
[101111111],-7.272379331551017
[110000000],-1.6290861502482066
[110000001],-7.897689838197237
[110000010],-5.023046896959557
[110000011],-6.758278651188477
[110000100],-2.5105832390013956
[110000101],-5.113111226841586
[110000110],-5.505818324921685
[110000111],-6.9565999366984865
[110001000],-7.652148283416149
[110001001],-7.115649158299541
[110001010],-6.261931691417132
[110001011],-7.06947092491971
[110001100],-5.33725577291987
[110001101],-7.512187557965114
[110001110],-5.652617358145761
[110001111],-7.302013610900357
[110010000],-1.9313495959196654
[110010001],-7.337979120481098
[110010010],-5.095362904556166
[110010011],-6.439475664521008
[110010100],-2.4731684219635945
[110010101],-5.306030969318015
[110010110],-5.160913797284828
[110010111],-7.399766993568636
[110011000],-7.4933158425488235
[110011001],nan
[110011010],-6.201063708218125
[110011011],-6.975756259633358
[110011100],-5.461953230914748
[110011101],-7.943530991750726
[110011110],-6.354443122771269
[110011111],-7.840735300783628
[110100000],-0.7354184145661469
[110100001],-7.100162081274714
[110100010],-3.987415491626468
[110100011],-7.267074468731391
[110100100],-2.0556679833334623
[110100101],-5.716885903813704
[110100110],-4.995979336659993
[110100111],-7.404573929455415
[110101000],-6.7189781294108295
[110101001],-7.662628771727925
[110101010],-4.8622645384042595
[110101011],-7.228399104291168
[110101100],-4.434432390391906
[110101101],-7.504268893230314
[110101110],-5.5327505424123045
[110101111],-7.128425225567199
[110110000],-2.8449750358044485
[110110001],-6.975375928493042
[110110010],-7.266473748899039
[110110011],-7.69083084695225
[110110100],-2.867146254924998
[110110101],-5.85716820068926
[110110110],-6.586381388220783
[110110111],-7.712630799720644
[110111000],-7.134843772344463
[110111001],-7.733975909322586
[110111010],-6.548518662572941
[110111011],-7.429869564686918
[110111100],-6.184001183079041
[110111101],-6.9818908299442395
[110111110],-6.905159403965878
[110111111],-7.69194318912808
[111000000],-1.5341557146630336
[111000001],nan
[111000010],-4.904847851605989
[111000011],-6.932647163626959
[111000100],-2.4826984417076705
[111000101],-5.002895139967981
[111000110],-5.006804776034945
[111000111],-7.88205714165816
[111001000],-6.807287134642013
[111001001],-6.9560337350962955
[111001010],-6.059003615681125
[111001011],-7.118325155501485
[111001100],-6.1128437667918005
[111001101],-8.285935702842288
[111001110],-6.4315528342329715
[111001111],nan
[111010000],-1.5718786698592677
[111010001],-7.12378249771073
[111010010],-4.918534582930698
[111010011],-7.861734995583326
[111010100],-2.336779496805736
[111010101],-5.046404262148083
[111010110],-6.048787762855586
[111010111],nan
[111011000],-7.290784193428252
[111011001],nan
[111011010],-6.354477207923794
[111011011],-7.0046054081687785
[111011100],-5.379276920584033
[111011101],-7.15163092357589
[111011110],-5.968656122451034
[111011111],-7.355277216901267
[111100000],-0.7343747372922955
[111100001],-7.739190240227725
[111100010],-4.055275970509432
[111100011],-7.653735727434011
[111100100],-2.1986598993711315
[111100101],-6.211244344222714
[111100110],-5.64255226198329
[111100111],-7.824806575926704
[111101000],-7.107774557411991
[111101001],-7.630201820638693
[111101010],-6.003554410795691
[111101011],-7.196132528240188
[111101100],-4.876862263053461
[111101101],-7.493340772778889
[111101110],-6.207330146725653
[111101111],-7.7410229507457835
[111110000],-3.303285606271476
[111110001],-7.191511399026464
[111110010],-6.168298846292063
[111110011],-7.808575059309851
[111110100],-2.999512530358972
[111110101],-6.121043858049339
[111110110],-5.4468459503505
[111110111],nan
[111111000],-6.825150693543454
[111111001],-6.969015637043756
[111111010],-7.212174963912018
[111111011],-7.281414063115374
[111111100],-7.0944054556369425
[111111101],nan
[111111110],-7.148377826629829
[111111111],-7.62739455313634
