genotype,s_r vs. LibA_pre
[110100010],-3.2382779816163727
[110100011],-5.3765870545518695
[110100100],-0.946553462622012
[110100101],-2.8896115845893022
[110100110],-3.874511138595951
[110100111],nan
[110101000],nan
[110101001],nan
[110101010],-2.681192497254224
[110101011],-2.667170665973171
[110101100],-3.2804060744139907
[110101101],-3.8534468706205547
[110101110],-3.9902646751640667
[110101111],-5.149152587425123
[110110000],-5.651742300646388
[110110001],-5.507812743614429
[110110010],-6.007729985575977
[110110011],nan
[110110100],-2.6302328658276006
[110110101],-4.707905147833954
[110110110],nan
[110110111],nan
[110111000],nan
[110111001],nan
[110111010],-5.201819233854212
[110111011],-5.1991129416049064
[110111100],-4.485693803321236
[110111101],-5.450121196097388
[110111110],-4.81053273912644
[110111111],nan
[111000000],0.7107990240795362
[111000001],0.0771617158189527
[111000010],0.15806564646447663
[111000011],-2.0768402369211914
[111000100],0.7460055566491853
[111000101],0.4153892481183178
[111000110],-0.7990225519366286
[111000111],-3.7437716462283435
[111001000],-5.425048288139702
[111001001],-6.467507531721236
[111001010],0.27050806051525134
[111001011],-0.02315323392342572
[111001100],-0.343446206210848
[111001101],-0.8852964105061671
[111001110],-1.0287375245232213
[111001111],-1.8900180441958065
[111010000],0.7546353390518271
[111010001],0.2942422568188564
[111010010],0.44413197231714163
[111010011],-1.9479042044186103
[111010100],0.7234508091710342
[111010101],0.2152203957300921
[111010110],-0.470322747606399
[111010111],-3.782562689750691
[111011000],-4.731901107579756
[111011001],-6.9549928175980185
[111011010],0.6010153273673081
[111011011],0.2999155260321894
[111011100],-0.12855038075446668
[111011101],-0.3617081420922044
[111011110],-0.4324613811148963
[111011111],-1.7848473771988989
[111100000],-2.732146389775832
[111100001],-2.539980404890518
[111100010],-2.9584311163811723
[111100011],-4.949477015938016
[111100100],-0.824131460147299
[111100101],-2.6408419109440477
[111100110],-4.018155094586468
[111100111],nan
[111101000],nan
[111101001],nan
[111101010],-2.2342386210139855
[111101011],-2.1134312533515995
[111101100],-2.76913675535439
[111101101],-3.3033997222235985
[111101110],-4.531189878287051
[111101111],-5.2691515245721385
[111110000],-3.7039542167668746
[111110001],-5.149152587425123
[111110010],-5.149332635336496
[111110011],-7.059559108531489
[111110100],-2.2963897250831136
[111110101],-3.842462565277826
[111110110],-5.584306091989345
[111110111],nan
[111111000],nan
[111111001],nan
[111111010],nan
[111111011],-4.131779052750646
[111111100],-4.867670077040364
[111111101],-5.631639737425179
[111111110],-5.349487087562874
[111111111],-6.9549928175980185
[100000101]+183A,-0.6015504587850222
[111010101]+183A,0.20884247516363164
[110000101]+183A,0.623085919823695
[110010101]+183A,0.5221741764214339
[101010101]+183A,0.13624172514629862
[000000001]+183A,-1.12666212189095
[110001011]+183A,-0.7919337379170088
[010001101]+183A,-0.4900734005494866
[111000101]+183A,0.5589111985140393
[010000001]+183A,0.43098889611211366
[001001111]+183A,-0.4595508292609295
[000000101]+183A,-1.275432099654419
[010011101]+183A,-0.07058445755437426
[001000101]+183A,0.595150587432486
[001000001]+183A,0.21771352162919488
[011011101]+183A,0.02632124034204908
[010010001]+183A,-0.2285859881954404
[001001101]+183A,-0.47641617477353515
[101011011]+183A,-0.24850898331002846
[101000101]+183A,0.43825960854364954
[011000001]+183A,0.09507356656284727
[100010101]+183A,-1.27928253519237
[010001111]+226A,-0.5902524664331815
[000011101]+183A,-1.5446421293622827
[110000101]+33T,1.0318352365374914
[000010101]+183A,-0.5069480167371637
[100000011]+183A,-1.987740242487137
[010001101]+270A,-0.4284891456535502
[000100101]+183A,-0.13251925488516625
[010000101]+183A,-0.0325503449179656
[011010001]+183A,-0.2663350294027794
[001010001]+183A,-0.3438402919159147
[010010101]+183A,0.11099235424099263
[100011011]+183A,-1.833297840047413
[001011101]+183A,-0.22799613762983417
[110010101]+47T,0.38619173109730986
[000110101]+183A,-0.5161486449473628
[011001101]+183A,-0.8633799357541884
[011010101]+183A,0.023634833750417417
[111001011]+183A,-0.8718836056338432
[011001111]+183A,-0.9389491139418
[111011011]+183A,-0.5580959546962523
[011000101]+183A,-0.2791075552847484
[001010101]+183A,-0.20298611547136403
[110011011]+183A,-0.4273680616356689
[001001011]+183A,-0.1768620750945552
[110000101]+270A,1.073039327044039
[100101011]+183A,-2.65914355084447
[101001011]+183A,-0.6873211471619921
[110010101]+268T,0.28449613374244376
[100110101]+183A,-0.686367231420727
[011000001]+33T,1.127678150837474
[100010011]+183A,-2.0030014462276435
[100111011]+183A,-2.0503354302001933
[000101101]+183A,-2.0800075403680607
[010001111]+183A,-1.0862022117757146
[000001011]+183A,-1.5895454869164651
[100010010]+62T,0.0926061607170191
[100100101]+183A,-0.9630888183951115
[001000000]+249A,1.4325211162801317
[000010001]+183A,-1.5295726144002466
[000100001]+183A,-1.1421063818030344
[000001101]+183A,-1.7356665414436034
[000011011]+183A,-1.528378259080998
[000110000]+33T,-0.29471333081559825
[000101011]+183A,-1.7900197728366791
[000110100]+41T,-0.006116074879947142
[010001011]+183A,-1.0883628667153409
[100000001]+183A,-0.9247867218791027
[100000100]+183A,0.13171484617850138
[100001011]+183A,-1.453248719904606
[010011011]+183A,-1.011090671318084
[111010101]+80T,0.22243527013872322
[000111100]+126T,-0.22259515205910763
[111010100]+183A,1.3765094460242189
[000111101]+183A,-2.201088129465347
[000100100]+250A,-0.3755761338938575
[000000001]+270A,-1.0444158937798196
[000010011]+183A,-1.6794079954599188
[101000001]+183A,-0.20092219241952147
[000110010]+33T,-0.03022507284874898
[100001101]+183A,-1.4043494719240235
[100011010]+241A,0.006955941402853272
[000111100]+252A,0.526256317692969
[000111011]+183A,-1.6201426994719248
[110010001]+183A,-0.5605365617928522
[111010001]+183A,-0.5371135445919344
[110000001]+183A,-0.655331941544235
[000110001]+183A,-1.3589686366211877
[111001011]+251A,0.07046484376664763
[110001011]+33T,3.135583814505805
[001011011]+183A,-1.4236052718082055
[000111100]+255T,-0.45520079816865255
[111011101]+183A,-0.8288386475436389
[000011100]+267A,-0.3794966710412791
[000101111]+183A,-1.872373393277175
[111000001]+183A,-0.6232284129827821
[101001101]+183A,-0.5608994542601915
[000100010]+21T,-1.2490919195628745
[010001111]+183A+265A,-0.17836653237687017
[111011011]+119T,-0.04704500372168652
[110001101]+183A,-1.4866575481835826
[010011111]+183A,-1.8810695499863654
[000110010]+41T,-0.23575026492545237
[110011101]+183A,-0.8938703844631455
[100111010]+226A,-0.18823241940100954
[100011011]+62T,-1.2047182746217027
[011001011]+183A,-1.6596814967896425
[110011011]+47T,2.8618725575244865
[000100011]+183A,-2.1283903595702722
[100110001]+183A,-1.2398788802184466
[000011111]+183A,-2.0381214707558453
[000010100]+270A,-0.24141750783401505
[000001111]+183A,-2.4916047503831735
[110000100]+183A,1.4737193543450555
[101001111]+183A,-0.883423347323627
[000000111]+183A,-2.670796741417097
[110011011]+41T,0.7181203392877432
[000110011]+183A,-2.0544256323802426
[111001101]+183A,-1.1852049764499206
[000000011]+183A,-3.0852362229978176
[100010001]+183A,-1.2249194613400358
[100011011]+241A,-1.7784610035444057
[001000011]+183A,-1.9812314813887055
[011011111]+183A,-2.349365557903858
[000010100]+47T,-0.9560685156480239
[011011011]+183A,-1.6725084568708672
[101000011]+183A,-2.183983676075175
[000111011]+33T,2.5618227280872232
[100010011]+62T,-1.4653220418444972
[110010100]+183A,1.260714093061937
[100011101]+183A,-1.6495973796759205
[111010100]+80T,0.31369407071470234
[010000001]+183A+241A,1.8278190348156067
[100100001]+183A,-1.4361773273236447
[100110010]+41T,-1.0274057881180017
[000111111]+183A,-2.099548452914718
[100100011]+183A,-2.2245303050778
[000000000]+24T,-0.17066464135178627
[110010100]+268T,1.3698998382339043
[101010100]+183A,0.9741686898662963
[100111101]+183A,-1.5169876797976174
[111000001]+87T,0.4809229964362026
[001011111]+183A,-1.868504640819947
[101010001]+183A,-1.0146992732094475
[010001111]+265A,-0.5439272190927706
[100101101]+183A,-1.7952731766667678
[000011100]+226A,0.03642553918768643
[000010010]+240A,0.05503280691671608
[110000011]+183A,-2.4531981283010813
[001011101]+131T,0.8058179485428044
[100001111]+183A,-2.0089806934920804
[011001011]+33T,3.343872191560913
[000110101]+41T,0.3239730094399119
[101011101]+183A,-1.4594751161373503
[110000100]+33T,3.3088213357912775
[110001010]+183A,0.3937409727307898
[0GG0G0001]+38C+40G+41C+42G+43C+45A+46G+47C+48G+49T+50G+51A+55A+58T+59G+60T+63A+64C+65T+66G+68C+70G+71T+72C+73A+74G+76T+77A+78C+81G+82T+83A+84C+85T+86G+87T+88C+89A+90C+92G+93T+94G+95A+96C+98G+99A+100T+101G+102A+103C+105A+106T+107C+109T+113G+114A+115T+116C+117G+118C+120A+121G+122A+123T+124A+125G+126T+127G+129T+130G+131C+132T+134C,0.2829604947099028
[000111011]+41T,0.9050203162792562
[101001011]+55A,-1.0112386524761694
[001000001]+249A,1.7813477913415738
[001010001]+241A,1.3758826832334097
[001100000]+128T,-1.1148930939349702
[000100000]+44A,-0.7650376665112352
[000000000]+183A,-0.3698086878066923
[111010011]+183A,-2.4827127883301268
[011000000]+77C,1.718238863013597
[100110011]+183A,-3.1093227117861497
[001001101]+80A,-0.029979797931169783
[111100101]+183A,-2.732429704382448
[000000100]+183A,-0.5542146801300363
[110000001]+33T,1.2908202446895602
[000110001]+33T,-0.1749382877845771
[110010011]+183A,-2.5985887796773617
[110010100]+47T,1.4292386531239405
[110001111]+183A,-2.011912876709223
[111011111]+183A,-1.8218827345530388
[100110010]+44T,0.2420218528620085
[010000000]+183A,1.6029883321438954
[101011011]+251A,0.5674026144649836
[111001111]+183A,-1.6551144924773848
[000001111]+226A,0.45566886581839794
[111000011]+183A,-2.7124022199348325
[100101111]+183A,-2.1162055938593562
[111011011]+80T,1.8432187198841206
[011011100]+183A,1.1216132494442737
[111000100]+183A,1.0949730480017181
[010001110]+226A,-0.1082475938216636
[001000000]+183A,1.0949730480017181
[101100101]+183A,-2.637065251966783
[000010101]+270A,-1.2284413388425883
[011001101]+241T,-0.21222418412374267
[001000100]+183A,2.1380763819099697
[001001111]+226A,1.0394640932418597
[000111101]+126T,-0.6625264523980731
[000110011]+33T,0.40505764675404177
[110010001]+47T,2.8098163644773946
[010010000]+183A,1.1943361375873316
[010011101]+252A,0.4996840658479659
[001001101]+270A,0.8574337009164638
[010001100]+183A,-0.2411785877516458
[110011111]+183A,-1.7402254313392036
[000000101]+247A,-2.014288244465924
[111000000]+87T,0.9806918665855128
[010011100]+183A,1.164518314558888
[010001100]+270A,0.2887986046851613
[011000110]+32T,-0.8102318315951461
[010000000]+97T,0.13446869732807454
[000000110]+97T,-0.5940663849389902
[100010101]+62T,0.06490251351353771
[000000100]+226A,-0.3927960098919845
[100111011]+33T,-2.8143850334354994
[000000000]+270A,-1.3006744944714876
[100111111]+183A,-2.5673390845168553
[110000010]+33T,1.613905179000974
[010001111]+247A,-1.073497817144203
[011011101]+232T,1.0693276019310982
[001010011]+183A,-2.673848913873545
[001001110]+183A,-0.09438780749436138
[000010100]+183A,0.4808718168969547
[000111011]+126T,1.9841134426258327
[000011100]+183A,-0.45725239887887925
[111000101]+268A,0.00496853798393726
[001011101]+232T,1.2566568153495399
[000010110]+244A,0.6981157185438825
[110001011]+265A,-1.1628755422534933
[111011011]+80T+183A,0.24573966438146055
[101000100]+183A,1.2566568153495399
[000110000]+265A,0.4115034290706302
[000111010]+128T,-0.9175833334467415
[100011010]+251A,-0.3870878756919835
[011000000]+33T,0.5284506936796173
[011000011]+183A,-2.8872899938465793
[010010011]+183A,-2.937067667925641
[000110100]+244A,-0.9916190799675548
[000101110]+267A,0.09746470767334825
[100000010]+119T,-0.6398368023033391
[010000011]+183A,-3.142955741795953
[000111101]+252A,0.15131294481685076
[000011110]+131T,-0.877769271169546
[010000110]+251A,0.6621385685828413
[010010001]+47T,0.15131294481685076
[110000101]+33T+183A,1.3577951607482124
[100011011]+251A,-1.9520873991103933
[110001111]+226A,0.46655058564799445
[101011011]+128T,-0.22659659491195083
[001001100]+183A,0.2875446860255674
[000011011]+47T,-2.925600464133648
[000011101]+270A,0.759053206450723
[000100100]+183A,1.2708833506427193
[100010001]+62T,0.24108156130236658
[100000010]+183A,-1.1753006977738771
[000101111]+226A,0.12413429669337939
[011000001]+95T,0.6638624938229337
[110000100]+270A,1.17569263801493
[000001101]+270A,-0.6177404717711549
[0GG0G0101]+38C+40G+41C+42G+43C+45A+46G+47C+48G+49T+50G+51A+55C+58T+59G+60T+63A+64C+65T+66G+68C+70G+71T+72C+73A+74G+76T+77A+78C+81G+82T+83A+84C+85T+86G+87T+88C+89A+90C+92G+93T+94G+95A+96C+98G+99A+100T+101G+102A+103C+105A+106T+107C+109T+113G+114A+115T+116C+117G+118C+120A+121G+122A+123T+124A+125G+126T+127G+129T+130G+131C+132T+134C,-1.4651577707969
[001001111]+247A,-0.9857224866245787
[100011111]+183A,-2.6902601190074447
[010010100]+183A,1.5786483345176685
[001001101]+95T,-0.6177404717711549
[010000100]+183A,1.5786483345176685
[110001101]+270A,1.5274241988147477
[011000101]+33T,1.5274241988147477
[010011101]+244A,1.5274241988147477
[000111101]+33T,0.14112983769485676
[100010100]+183A,-0.5510770513054468
[110100101]+183A,-3.534409147038385
[111011011]+238A,1.5274241988147477
[010011111]+226A,0.8342770182548019
[110011101]+47T,0.8342770182548019
[011100101]+183A,-3.1210071098636303
[011000001]+247A,-1.4161021719305606
[111001011]+87T,0.7802866343582625
[110001011]+251A,-0.8283991155732838
[011000000]+183A,0.558647974223473
[100111010]+29T,-0.029807810810670077
[011010011]+183A,-3.189224722120345
[101011010]+183A,1.070478118415469
[0GG0G0001]+38C+40G+41C+42G+43C+45A+46G+47C+48G+49T+50G+51A+53C+55C+58T+59G+60T+63A+64C+65T+66G+68C+70G+71T+72C+73A+74G+76T+77A+78C+81G+82T+83A+84C+85T+86G+87T+88C+89A+90C+92G+93T+94G+95A+96C+98G+99A+100T+101G+102A+103C+105A+106T+107C+109T+113G+114A+115T+116C+117G+118C+120A+121G+122A+123T+124A+125G+126T+127G+129T+130G+131C+132T+134C,0.7802866343582625
[000010111]+183A,-3.7754879410568116
[001000001]+38C,0.2217455375526053
[101001011]+128T,-1.165086313502289
[000100101]+250A,-1.3870884453282395
[000011111]+226A,-0.28847615666012993
[100110010]+267A,-0.28847615666012993
[000010110]+33T,-0.6629130752522991
[001100101]+183A,-3.1375761558379223
[000111100]+41T,1.0126324783651564
[0GG0G0100]+38C+40G+41C+42G+43C+45A+46G+47C+48G+49T+50G+51A+55C+58T+59G+60T+63A+64C+65T+66G+68C+70G+71T+72C+73A+74G+76T+77A+78C+81G+82T+83A+84C+85T+86G+87T+88C+89A+90C+92G+93T+94G+95A+96C+98G+99A+100T+101G+102A+103C+105A+106T+107C+109T+113G+114A+115T+116C+117G+118C+120A+121G+122A+123T+124A+125G+126T+127G+129T+130G+131C+132T+134C,1.0126324783651564
[101011111]+183A,-2.3331194760834295
[000011100]+71A,0.7224409943079494
[000100100]+251A,-0.9347123911658173
[010011111]+247A,-2.4652777592857347
[000001000]+241A,0.1638998975022924
[000011101]+267A,-0.45563546571440694
[000011101]+193C,2.116282561063223
[0G10G1100]+38C+40G+41C+42G+43C+45A+46G+47C+48G+49T+50G+51A+55C+58T+59G+60T+63A+64C+65T+66G+68C+70G+71T+72C+73A+74G+76T+77A+78C+81G+82T+83A+84C+85T+86G+87T+88C+89A+90C+92G+93T+94G+95A+96C+98G+99A+100T+101G+102A+103C+105A+106T+107C+109T+113G+114A+115T+116C+117G+118C+120A+121G+122A+123T+124A+125G+126T+127G+129T+130G+131C+132T+134C,0.25639960041545484
[111010100]+268A,0.4402260483888297
[101001111]+226A,2.055706275278893
[010001011]+270A,2.055706275278893
[100111011]+226A,-0.43549366148489677
[100110010]+268A,-0.43549366148489677
[100001101]+270A,1.3550118890835647
[0GG0G1101]+38C+40G+41C+42G+43C+45A+46G+47C+48G+49T+50G+51A+53C+55C+58T+59G+60C+63A+64C+65T+66G+68C+70G+71T+72C+73A+74G+76T+77A+78C+81G+82T+83A+84C+85T+86G+87T+88C+89A+90C+92G+93T+94G+95A+96C+98G+99A+100T+101G+102A+103C+105A+106T+107C+109T+113G+114A+115T+116C+117G+118C+120A+121G+122A+123T+124A+125G+126T+127G+129T+130G+131C+132T+134C,-0.3490524424444602
