genotype,s_r vs. LibA_pre
[100011000],-4.418133212521503
[100011001],-6.642626942809496
[100011010],-0.5765083307484931
[100011011],-1.3250509041737306
[100011100],-1.3615147971295154
[100011101],-1.3564626902527055
[100011110],-0.9915003542930451
[100011111],-2.434573567359455
[100100000],-0.0009066758212643578
[100100001],-0.6864377580896717
[100100010],-0.3920837655519044
[100100011],-1.4571452497807238
[100100100],-0.6005092090834132
[100100101],-1.3220396112736006
[100100110],-1.4080050239550546
[100100111],-4.489065073975256
[100101000],-4.411063774338873
[100101001],-6.7107854790454144
[100101010],-0.3340638893597274
[100101011],-1.4420538178607196
[100101100],-1.2015937477575487
[100101101],-1.652069898082374
[100101110],-1.2036089780316148
[100101111],-2.73045700675872
[100110000],-0.26663934906801456
[100110001],-0.5469847189359855
[100110010],-0.4878076891945937
[100110011],-2.0599093675693014
[100110100],-0.8802441662924703
[100110101],-1.1757535641673351
[100110110],-1.2708815210398248
[100110111],-4.348069656863893
[100111000],-4.7981915370541435
[100111001],nan
[100111010],-0.24103502461062765
[100111011],-1.7640164120284116
[100111100],-1.3894893354911346
[100111101],-1.455295511231787
[100111110],-1.1003988715357658
[100111111],-2.694462060700164
[101000000],0.8994657521591546
[101000001],0.6966912699538798
[101000010],0.7499699644727561
[101000011],-1.7706116099166525
[101000100],0.8079909859095747
[101000101],0.4738096464978151
[101000110],-0.35362935588361155
[101000111],-3.3712417052971406
[101001000],-3.5816006431177922
[101001001],-7.007748706488187
[101001010],0.872797979134223
[101001011],0.5070981775273967
[101001100],0.17287968824013433
[101001101],-0.3354437774779042
[101001110],-0.268173703014569
[101001111],-1.3898190472771226
[101010000],0.16629790601865901
[101010001],-0.08622959157586585
[101010010],0.05555926670897737
[101010011],-2.4037121874566143
[101010100],0.5046018228265238
[101010101],0.14967391524968698
[101010110],-1.0137062321246315
[101010111],-3.8976931897317613
[101011000],-4.616968323359171
[101011001],-5.947103098726111
[101011010],0.27748967575374295
[101011011],0.09719003981658714
[101011100],-0.4343047009803357
[101011101],-0.7459317513184035
[101011110],-0.8737947294014412
[101011111],-2.3712134311971496
[101100000],-2.332462415791248
[101100001],-2.7506179008530176
[101100010],-2.455829823730073
[101100011],-5.10343518666778
[101100100],-0.9017108440915415
[101100101],-2.3450632392335784
[101100110],-3.017628745351847
[101100111],-7.086990805950553
[101101000],nan
[101101001],nan
[101101010],-2.7029964421146944
[101101011],-2.2255595721330406
[101101100],-2.517592966299521
[101101101],-3.588569934994673
[101101110],-3.4112676681499936
[101101111],-5.626419467101158
[101110000],nan
[101110001],-6.944479886823433
[101110010],-4.823688940560677
[101110011],nan
[101110100],-2.7561607808232265
[101110101],-5.069980848191205
[101110110],nan
[101110111],nan
[101111000],nan
[101111001],nan
[101111010],-5.006737844288226
[101111011],-5.315680341476251
[101111100],-4.835376269927546
[101111101],-7.053213908625242
[101111110],nan
[101111111],nan
[110000000],0.4416887288438839
[110000001],0.17302940782520893
[110000010],-0.015320520531013626
[110000011],-2.1245836328235197
[110000100],0.7348843230993028
[110000101],0.39425301599067
[110000110],-0.7936967813685124
[110000111],-3.6540733776324514
[110001000],nan
[110001001],-6.657836361473025
[110001010],0.21181191019632217
[110001011],-0.09478589977372276
[110001100],-0.7980963966843481
[110001101],-1.0196958679490553
[110001110],-0.7434909448692284
[110001111],-1.930779657657498
[110010000],0.5111829379842455
[110010001],-0.02358193674338882
[110010010],0.20434112573432384
[110010011],-2.1944760464481616
[110010100],0.5511216875932848
[110010101],0.14372978945153447
[110010110],-0.6372396623750836
[110010111],-3.658404131618316
[110011000],-4.21438619457716
[110011001],nan
[110011010],0.45921925374997674
[110011011],0.21523784709060545
[110011100],0.025262316678009933
[110011101],-0.33246476662004754
[110011110],-0.5885045413588781
[110011111],-1.8783895419551782
[110100000],-2.1077493849631543
[110100001],-3.101770650624652
[110100010],-3.0186926586005005
[110100011],-5.153006237731665
[110100100],-0.923308820258017
[110100101],-2.837051173798969
[110100110],-4.007370716634009
[110100111],nan
[110101000],-5.700725836280691
[110101001],nan
[110101010],-2.732916467418947
[110101011],-2.652226501730673
[110101100],-3.316982473918677
[110101101],-3.795783547090116
[110101110],-4.629945215038705
[110101111],-4.8763065412528555
[110110000],-5.08981131238077
[110110001],-5.639028935908756
[110110010],-6.131879010647212
[110110011],nan
[110110100],-2.937073064898546
[110110101],-4.957479164332682
[110110110],nan
[110110111],-7.288006128637658
[110111000],nan
[110111001],nan
[110111010],-5.333035426148539
[110111011],-5.130474821510132
[110111100],-5.022375103723728
[110111101],-6.497628120265871
[110111110],nan
[110111111],nan
[111000000],0.5207005530816823
[111000001],-0.028761333485744056
[111000010],0.08559861557962478
[111000011],-2.1539851900140192
[111000100],0.6912933810440326
[111000101],0.31935253561397425
[111000110],-0.9359180582467395
[111000111],-3.738401629316017
[111001000],nan
[111001001],-6.598723724015564
[111001010],0.10985582330745192
[111001011],-0.19656770308498095
[111001100],-0.5059637535526633
[111001101],-1.0610170755027148
[111001110],-0.9278106157812139
[111001111],-1.9416693161670477
[111010000],0.6274444773519917
[111010001],0.27203630820815217
[111010010],0.4946029368450061
[111010011],-2.0273188595071283
[111010100],0.591542306834889
[111010101],0.18218729533035016
[111010110],-0.6606444991241875
[111010111],-3.372769854476281
[111011000],-4.45529091558024
[111011001],-6.3930618293324
[111011010],0.527879974663278
[111011011],0.1338722476353168
[111011100],-0.18128863266483297
[111011101],-0.5023768191091529
[111011110],-0.44957675068854186
[111011111],-1.8445458383402862
[111100000],-2.489421425833936
[111100001],-2.4622970354130325
[111100010],-2.851603381538721
[111100011],-4.646153493226197
[111100100],-0.8781620121017646
[111100101],-2.561860637901197
[111100110],-3.303251349559024
[111100111],nan
[111101000],nan
[111101001],-7.0369080335106515
[111101010],-2.1683164574323204
[111101011],-2.33945262550685
[111101100],-2.6128387151898713
[111101101],-3.3198923715194306
[111101110],-3.5630060701750197
[111101111],-5.24739496010464
[111110000],-5.08981131238077
[111110001],-4.588230845493492
[111110010],-4.5874016470708785
[111110011],-6.497628120265871
[111110100],-2.1563558372928187
[111110101],-4.238950015975354
[111110110],-5.022375103723728
[111110111],nan
[111111000],nan
[111111001],nan
[111111010],-4.294697079324783
[111111011],-4.103008393933624
[111111100],-4.591059885040848
[111111101],-5.538294943724324
[111111110],nan
[111111111],-5.9852354450385565
